Date,Beef,Cheese,Wheat,Soybeans,Crude Oil,MP Renewable Raw,MP Fossil Raw,MP Sugar Raw,MP Renewable Food,MP Fossil Food,MP Sugar Food
12/01/2022,4951.08,4963.16,385.95,646,90.9,2000,800,1100,2857,1143,1571
11/01/2022,5226.67,4802.59,422.88,646,91.07,2000,800,1100,2857,1143,1571
10/01/2022,5846.64,4705.54,439.75,623,93.13,2000,800,1100,2857,1143,1571
09/01/2022,6001.14,4752.76,419.7,643,90.16,2000,800,1100,2857,1143,1571
08/01/2022,6132.7,4755.6,383.12,633,98.6,2000,800,1100,2857,1143,1571
07/01/2022,6548.98,4686.68,382.8,618,108.92,2000,800,1100,2857,1143,1571
06/01/2022,6824.96,4658.56,457.75,675,120.08,2000,800,1100,2857,1143,1571
05/01/2022,6452.2,4369.51,516.16,720,112.37,2000,800,1100,2857,1143,1571
04/01/2022,6208.58,4251.36,496.4,723,105.78,2000,800,1100,2857,1143,1571
03/01/2022,5899.84,4248.78,481.04,720,115.59,2000,800,1100,2857,1143,1571
02/01/2022,5591.44,4245.95,386.68,669,95.76,2000,800,1100,2857,1143,1571
01/01/2022,5178.25,3975.58,373.25,608,85.53,2000,800,1100,2857,1143,1571
12/01/2021,4825.84,3892.27,379.5,565,74.31,2000,800,1100,2857,1143,1571
11/01/2021,4931.89,3869.3,377.6,553,80.77,2000,800,1100,2857,1143,1571
10/01/2021,5166.51,3853.77,353.25,549,83.65,2000,800,1100,2857,1143,1571
09/01/2021,5790.36,3861.2,337,556,74.6,2000,800,1100,2857,1143,1571
08/01/2021,5679.69,3845.61,323.8,563,70.02,2000,800,1100,2857,1143,1571
07/01/2021,5442.44,3792.39,291.25,573,74.39,2000,800,1100,2857,1143,1571
06/01/2021,5181.32,3828.65,284.8,615,73.07,2000,800,1100,2857,1143,1571
05/01/2021,4933.57,3840.17,298.5,646,68.04,2000,800,1100,2857,1143,1571
04/01/2021,4765.84,3765.09,281.25,600,64.77,2000,800,1100,2857,1143,1571
03/01/2021,4612.3,3719.85,274.4,582,65.19,2000,800,1100,2857,1143,1571
02/01/2021,4539.28,3757.94,290.75,581,61.96,2000,800,1100,2857,1143,1571
01/01/2021,4510.8,3771.42,291.5,574,54.55,2000,800,1100,2857,1143,1571
12/01/2020,4506.14,3801,267.4,513,49.87,2000,800,1100,2857,1143,1571
