ghg_kg_co2eq,acid_kg_so2eq,eutr_kg_phoseq,water_cons_l,land_m2
5.5E-02,2.5E-03,5.3E+00,2.5E-01,
1.2E-01,,,,
1.3E-01,,1.6E+00,,1.9E-01
1.0E-01,2.9E+02,4.6E+00,,
1.6E-01,4.5E+00,3.3E+01,,
8.2E-02,6.5E+00,1.5E+01,,
1.9E-01,1.1E+01,5.2E+00,,
3.5E-02,8.3E-01,2.5E+01,,
3.5E-02,8.9E-01,3.5E+01,,1.2E-01
7.0E-02,6.1E+00,9.0E+00,,1.5E-01
2.7E-02,6.5E-01,8.9E+00,,4.6E-02
1.2E-01,7.0E+00,9.0E+00,,1.2E+00
6.2E-02,5.4E-01,2.5E+01,6.5E+00,
1.2E-01,,9.1E+00,4.6E-01,5.9E-02
1.7E-01,,,,
2.5E-02,2.2E+00,2.2E+00,,
8.1E-01,1.9E+01,2.0E+01,,
3.8E-01,4.0E+00,3.4E+01,,
5.7E-02,3.0E+00,2.0E+01,0.0E+00,8.0E-02
1.5E-01,6.0E+00,3.7E+01,4.6E-01,1.1E-01
1.8E-01,1.1E+01,7.2E+01,9.2E-01,1.5E-01
